1654676066031811328,-0.07528,-0.52385,0.13070,0.99638,-0.03355,0.00953,-0.07751,
1654676068481989120,-0.12789,-0.52031,0.11414,0.99702,-0.03469,0.01121,-0.06801,
1654676068831747840,-0.12890,-0.47258,0.11607,0.99750,-0.03254,0.01313,-0.06128,
1654676069330115328,-0.12146,-0.42324,0.11364,0.99776,-0.03362,0.01400,-0.05607,
1654676069881091328,-0.11540,-0.37512,0.11201,0.99809,-0.03368,0.01511,-0.04962,
1654676070232038656,-0.11176,-0.33185,0.11298,0.99836,-0.03273,0.01623,-0.04404,
1654676070631045120,-0.10741,-0.29201,0.11295,0.99857,-0.03245,0.01716,-0.03894,
1654676071180410368,-0.09131,-0.24348,0.11360,0.99879,-0.03186,0.01811,-0.03294,
1654676071580713216,-0.08176,-0.19220,0.11585,0.99899,-0.03115,0.01955,-0.02600,
1654676071981801984,-0.07678,-0.16122,0.11539,0.99911,-0.03079,0.02007,-0.02066,
1654676076531109632,-0.18283,-0.12431,0.16776,0.99915,-0.03135,0.01687,-0.02101,
1654676078381953536,-0.18596,-0.14934,0.17483,0.99899,-0.02995,0.01680,-0.02885,
1654676078581900800,-0.19482,-0.19665,0.17842,0.99880,-0.03021,0.01733,-0.03451,
1654676078831174912,-0.19720,-0.24677,0.17499,0.99859,-0.03024,0.01705,-0.04028,
1654676079180592384,-0.20435,-0.29168,0.17829,0.99839,-0.02947,0.01586,-0.04581,
1654676079581199104,-0.21379,-0.35432,0.17944,0.99802,-0.02950,0.01698,-0.05289,
1654676079830896128,-0.21995,-0.40893,0.18322,0.99764,-0.02914,0.01755,-0.05968,
1654676080081165056,-0.21939,-0.45328,0.18042,0.99729,-0.02941,0.01807,-0.06498,
1654676080382299648,-0.23747,-0.49661,0.18183,0.99693,-0.02910,0.01798,-0.07042,
1654676080732017152,-0.25506,-0.53748,0.18458,0.99650,-0.02965,0.01847,-0.07593,
1654676082585930496,-0.27615,-0.49541,0.18780,0.99725,-0.02986,0.01879,-0.06524,
1654676082835685632,-0.25494,-0.44851,0.18771,0.99765,-0.02980,0.01908,-0.05872,
1654676083585476608,-0.23628,-0.39623,0.18440,0.99786,-0.03242,0.02055,-0.05291,
1654676083935441408,-0.22897,-0.33325,0.18130,0.99820,-0.03248,0.02073,-0.04605,
1654676084236215808,-0.22497,-0.28353,0.18465,0.99843,-0.03271,0.02039,-0.04055,
